grid,drive,P,K,readout,bal_mean,bal_std,flops_predict_sample,flops_fit_median,median_n_iter,n_train_mean,n_test_mean
16,45mT,1,32,ternary,0.6827693581581116,0.08323432505130768,64,98304.0,5,204,51
16,45mT,1,64,analog,0.4076923131942749,0.06009787693619728,128,196608.0,5,204,51
16,45mT,1,64,binary,0.7554872035980225,0.049550946801900864,128,314572.80000000005,8,204,51
16,45mT,1,64,ternary,0.7278974652290344,0.06961685419082642,128,235929.6,6,204,51
16,45mT,1,128,analog,0.3814872205257416,0.05936313048005104,256,471859.2,6,204,51
16,45mT,1,128,binary,0.8229743242263794,0.037574250251054764,256,6527385.600000001,83,204,51
16,45mT,1,128,ternary,0.7789230346679688,0.05898737534880638,256,786432.0,10,204,51
16,45mT,1,256,analog,0.4074872136116028,0.06885909289121628,512,786432000.0,5000,204,51
16,45mT,1,256,binary,0.890410304069519,0.041986070573329926,512,17301504.0,110,204,51
16,45mT,1,256,ternary,0.8215897083282471,0.0575505867600441,512,24851251.200000003,158,204,51
16,45mT,1,512,analog,0.5547692179679871,0.06441065669059753,1024,1572864000.0,5000,204,51
16,45mT,1,512,binary,0.9429231286048889,0.030279695987701416,1024,21705523.200000003,69,204,51
